Group,ID,Word,POS,Stress,Transcription,Variation,Page
G1,94,photographic,adj,penult,/ ˌfoʊ təˈgræ fɪk /,,179
G1,95,photography,n,antepenult,/ fəˈtɑ grə fi /,,179
G1,96,policy,n,antepenult,/ ˈpɑ lə si /,,182
G1,97,precise,adj,ult,/ prɪˈsaɪs /,,181
G1,98,proper,adj,penult,/ ˈprɑ pər /,,181
G1,99,ready,adj,penult,/ ˈrɛ di /,,181
G1,100,robust,adj,ult,/ roʊˈbʌst/,/ˈroʊ bʌst /,181
G1,101,sardine,n,ult,/ sɑrˈdin /,,181
G1,102,secure,adj,ult,/ sɪˈkjʊər /,,181
G1,103,serenade,n,ult,/ ˌsɛ rəˈneɪd /,,182
G1,104,serene,adj,ult,/ səˈrin /,,181
G1,105,shampoo,n,ult,/ ʃæmˈpu /,,181
G1,106,sincere,adj,ult,/ sɪnˈsɪər /,,181
G1,107,solid,adj,penult,/ ˈsɑ lɪd /,,181
G1,108,spinach,n,penult,/ ˈspɪ nɪtʃ /,,181
G1,109,sudden,adj,penult,/ ˈsʌ dn /,,181
G1,110,thermometer,n,antepenult,/ θərˈmɑ mɪ tər /,,182
G1,111,Tibet,n,ult,/ tɪˈbɛt /,,181
G1,112,tomato,n,penult,/ təˈmeɪ toʊ/,/ təˈmɑ toʊ/,182
G1,113,typhoon,n,ult,/ taɪˈfun /,,181
G1,114,vitamin,n,antepenult,/ ˈvaɪ tə mɪn/,,182
G1,115,vulgar,adj,penult,/ ˈvʌl gər /,,181
G1,116,warrantee,n,ult,/ ˌwɔ rənˈti/,/ˌwɑ rənˈti/,182
G1,117,yellow,adj,penult,/ ˈyɛ loʊ /,,181
G1,118,zipper,n,penult,/ ˈzɪ pər /,,181
G2,1,agile,adj,penult,/ ˈædʒ əl /,/ ˈædʒaɪl /,194
G2,2,agriculture,n,antepenult,/ ˈæg rɪˌkʌl tʃər /,,202
G2,3,alimony,n,antepenult,/ ˈæl əˌmoʊ ni /,/ ˈælɪmənɪ /,194
G2,4,allegory,n,antepenult,/ ˈæl əˌgɔr i /,/ ˈæl əˌgoʊr i /,194
G2,5,anniversary,n,antepenult,/ ˌæn əˈvɜr sə ri /,,194
G2,6,anticipatory,adj,antepenult,/ ænˈtɪs ə pəˌtɔr i /,/ ænˈtɪs ə pəˌtoʊr i /,194
G2,7,arbitrary,adj,antepenult,/ ˈɑr bɪˌtrɛr i /,,194
G2,8,aristocracy,n,antipenult,/ ˌær əˈstɑk rə si /,,202
G2,9,aspirin,n,antepenult,/ ˈæs pər ɪn /,,201
G2,10,assassination,n,penult,/ əˌsæs əˈneɪ ʃən /,,202
G2,11,autograph,"n, adj",antepenult,/ ˈɔ təˌgræf /,/ ˈɔ təˌgrɑf /,202
G2,12,bravery,n,antepenult,/ ˈbreɪ və ri /,/ ˈbreɪv ri /,194
G2,13,camera,n,antepenult,/ ˈkæm ər ə /,,201
G2,14,category,n,antepenult,/ ˈkæt ɪˌgɔr i /,/ ˈkæt ɪˌgoʊr i /,194
G2,15,cemetery,n,antepenult,/ ˈsɛm ɪˌtɛr i /,,194
G2,16,ceremony,n,antepenult,/ ˈsɛr əˌmoʊ ni /,/ ˈsɛrɪmənɪ /,194
G2,17,choreography,n,antepenult,/ ˌkɔr iˈɑg rə fi /,,202
G2,18,compensatory,adj,antepenult,/ kəmˈpɛn səˌtɔr i /,/ kəmˈpɛn səˌtoʊr i /,194
G2,19,complimentary,adj,antepenult,/ ˌkɑm pləˈmɛn tə ri /,,194
G2,20,conciliation,n,penult,/ kənˌsɪlɪˈeɪʃən /,,202
G2,21,confectionery,n,antepenult,/ kənˈfɛk ʃəˌnɛr i /,,194
G2,22,conservatory,n,antepenult,/ kənˈsɜr vəˌtɔr i /,/ kənˈsɜr vəˌtoʊr i /,194
G2,23,consumptiveness,n,penult,/ kən ˌsʌmpˈtiv ˌnis /,,202
G2,24,contemporary ??,adj,antepenult,/ kənˈtɛm pəˌrɛr i /,,194
G2,25,corollary,n,antepenult,/ ˈkɔr əˌlɛr i /,/ kəˈrɑl ə ri /,194
G2,26,coronary,adj,antepenult,/ ˈkɔr əˌnɛr i /,/ ˈkɑr əˌnɛr i /,194
G2,27,diagnosis,n,penult,/ ˌdaɪ əgˈnoʊ sɪs /,,202
G2,28,dictionary,n,antepenult,/ ˈdɪk ʃəˌnɛr i /,,194
G2,29,discretional,adj,antepenult,/ dɪˈskrɛʃ ə nl /,,202
G2,30,docile,adj,penult,/ ˈdas əl /,/ ˈdəʊsaɪl /,194
G2,31,documentary,"adj, n",antepenult,/ ˌdɑk yəˈmɛn tə ri,/ ˌdɑkjʊˈmɛntərɪ /,194
G2,32,dormitory,n,antepenult,/ ˈdɔr mɪˌtɔr i /,/ ˈdɔr mɪˌtoʊr i /,194
G2,33,dysentery,n,antepenult,/ ˈdɪs ənˌtɛr i /,,194
G2,34,eccentricity,n,penult,/ ˌɛk sənˈtrɪs ɪ ti /,/ ˌɛk sɛnˈtrɪs ɪ ti /,202
G2,35,education,n,penult,/ ˌɛdʒ ʊˈkeɪ ʃən /,,202
G2,36,elementary,adj,antepenult,/ ˌɛl əˈmɛn tə ri /,/ ˌɛl əˈmɛn tri /,194
G2,37,exculpatory,adj,antepenult,/ ɪkˈskʌl pəˌtɔr i /,/ ɪkˈskʌl pəˌtoʊr i /,194
G2,38,exploratory,adj,antepenult,/ ɪkˈsplɔr əˌtɔr i /,,194
G2,39,facilitate,v,antepenult,/ fəˈsɪl ɪˌteɪt /,,202
G2,40,famous,adj,penult,/ ˈfeɪ məs /,,201
G2,41,Feburary,n,antepenult,/ ˈfɛb ruˌɛr i /,/ ˈfɛb yuˌɛr i /,194
G2,42,fertile,adj,penult,/ ˈfɜr tl /,/ ˈfɜːtaɪl /,194
G2,43,fragile,adj,penult,/ ˈfrædʒ əl /,/ ˈfrædʒaɪl /,194
G2,44,futile,adj,penult,/ ˈfju tl /,/ ˈfju taɪl /,194
G2,45,general,"n, adj",antepenult,/ ˈdʒɛn ər əl /,,201
G2,46,generality,n,antepenult,/ ˌdʒɛn əˈræl ɪ ti /,,202
G2,47,gratification,n,penult,/ ˌgræt ə fɪˈkeɪ ʃən /,,202
G2,48,hostile,adj,penult,/ ˈhɑs tl /,/ ˈhɑstaɪl /,194
G2,49,imaginary,adj,antepenult,/ ɪˈmædʒ əˌnɛr i /,,194
G2,50,imaginative,adj,antepenult,/ ɪˈmædʒ ə nə tɪv /,,201
G2,51,imaginaton,n,penult,/ ɪˌmædʒ əˈneɪ ʃən /,,202
G2,52,infirmary,n,antepenult,/ ɪnˈfɜr mə ri /,/ ɪnˈfɜːmərɪ /,194
G2,53,inhibitory,adj,antepenult,/ ɪnˈhɪb ɪˌtɔr i /,,194
G2,54,ivory,n,antepenult,/ ˈaɪ və ri /,/ ˈaɪ vri /,194
G2,55,laboratory,n,antepenult,/ ˈlæb rəˌtɔr i /,/ ˈlæb rəˌtoʊr i /,194
G2,56,legendary,adj,antepenult,/ ˈlɛdʒ ənˌdɛr i /,,194
G2,57,literary,adj,antepenult,/ ˈlɪt əˌrɛr i /,,194
G2,58,lottery,n,antepenult,/ ˈlɑt ə ri /,,194
G2,59,macaroni,n,penult,/ ˌmæk əˈroʊ ni /,,202
G2,60,management,n,antepenult,/ ˈmæn ɪdʒ mənt /,,201
G2,61,managerial,adj,antepenult,/ ˌmæn ɪˈdʒɪər i əl /,,202
G2,62,mandatory,adj,antepenult,/ ˈmæn dəˌtɔr i /,/ ˈmæn dəˌtoʊr i /,194
G2,63,matrimony,n,antepenult,/ ˈmæ trəˌmoʊ ni /,/ ˈmætrɪmənɪ /,194
G2,64,military,adj,antepenult,/ ˈmɪl ɪˌtɛr i /,,194
G2,65,missile,n,penult,/ ˈmɪs əl /,/ ˈmɪsaɪl /,195
G2,66,mobile,"adj, n",penult,/ ˈmoʊ bəl /,/ ˈməʊbaɪl /,195
G2,67,modality,n,antepenult,/ moʊˈdæl ɪ ti /,,202
G2,68,momentary ??,adj,antepenult,/ ˈmoʊ mənˌtɛr i /,,194
G2,69,monastery,n,antepenult,/ ˈmɑn əsˌtɛ ri /,,194
G2,70,monetary,adj,antepenult,/ ˈmɑn ɪˌtɛr i /,/ ˈmʌn ɪˌtɛr i /,194
G2,71,motivate,v,antepenult,/ ˈmoʊ təˌveɪt /,,201
G2,72,mythical,adj,antepenult,/ ˈmɪθ ɪ kəl /,,202
G2,73,necessary,adj,antepenult,/ ˈnɛs əˌsɛr i /,,194
G2,74,neutralize,v,antepenult,/ ˈnu trəˌlaɪz /,,202
G2,75,observatory,n,antepenult,/ əbˈzɜr vəˌtɔr i /,/ əbˈzɜr vəˌtoʊr i /,194
G2,76,opera,n,penult,/ ˈɑp ər ə /,/ ˈɑp rə /,201
G2,77,operatic,n,penult,/ ˌɑp əˈræt ɪk /,,202
G2,78,ordinary,adj,antepenult,/ ˈɔr dnˌɛr i /,,194
G2,79,pathology,n,antepenult,/ pəˈθɑl ə dʒi /,,201
G2,80,phonological,adj,antepenult,/ ˌfoʊn lˈɑdʒ ɪ kəl /,,202
G2,81,primary,adj,antepenult,/ ˈpraɪ mɛr i /,/ ˈpraɪ mə ri /,194
G2,82,principal,adj,antepenult,/ ˈprɪn sə pəl /,,201
G2,83,principality,n,antepenult,/ ˌprɪn səˈpæl ɪ ti /,,202
G2,84,profile,"n , v",penult,/ ˈproʊ faɪl /,/ ˈprəʊfaɪl /,195
G2,85,profundity,n,antepenult,/ prəˈfʌn dɪ ti /,,202
G2,86,promissory,adj,antepenult,/ ˈprɑm əˌsɔr i /,/ ˈprɑm əˌsoʊr i /,194
G2,87,protestation,n,penult,/ ˌprɑt əˈsteɪ ʃən /,/ ˌproʊ təˈsteɪ ʃən /,202
G2,88,punishable,adj,antepenult,/ ˈpʌn ɪ ʃə bəl /,,202
G2,89,reasonable,adj,antepenult,/ ˈri zə nə bəl /,,201
G2,90,recessional,adj,penult,/ rɪˈsɛʃ ə nl /,,202
G2,91,reformatory,n,antepenult,/rɪˈfɔ mə tɔ ri/,,194
G2,92,reptile,n,penult,/ ˈrɛp taɪl /,,195
G2,93,resignation,n,penult,/ ˌrɛz ɪgˈneɪ ʃən /,,202
G2,94,resumption,n,penult,/ rɪˈzʌmp ʃən /,,202
G2,95,salary,n,antepenult,/ ˈsæl ə ri /,,194
G2,96,sanitary,adj,antepenult,/ ˈsæn ɪˌtɛr i /,,194
G2,97,saxophone,n,antepenult,/ ˈsæk səˌfoʊn /,,202
G2,98,secretary,n,antepenult,/ ˈsɛk rɪˌtɛr i /,,194
G2,99,sedentary,adj,antepenult,/ ˈsɛd nˌtɛr i /,,194
G2,100,senile,adj,penult,/ ˈsi naɪl /,,195
G2,101,stationery,n,antepenult,/ ˈsteɪ ʃəˌnɛr i /,,194
G2,102,sterile,adj,penult,/ ˈstɛr ɪl /,/ ˈstɛraɪl /,195
G2,103,temperature,n,antepenult,/ ˈtɛm pər ə tʃər /,,201
G2,104,temporary,adj,antepenult,/ ˈtɛm pəˌrɛr i /,,194
G2,105,territory,n,antepenult,/ ˈtɛr ɪˌtɔr i /,/ ˈtɛr ɪˌtoʊr i /,194
G2,106,testament,n,antepenult,/ ˈtɛs tə mənt /,,201
G2,107,testimony,n,antepenult,/ ˈtɛs təˌmoʊ ni /,/ ˈtɛstɪmənɪ /,194
G2,108,testimony,n,antepenult,/ ˈtɛs təˌmoʊ ni /,/ ˈtɛs təˌmə ni /,202
G2,109,transcription,n,penult,/ trænˈskrɪp ʃən /,,202
G2,110,transistor,n,penult,/ trænˈzɪs tər /,,202
G2,111,vegetarian,n,antepenult,/ ˌvɛdʒ ɪˈtɛər i ən /,,201
G2,112,versatile,adj,antepenult,/ ˈvɜr sə tl /,/ ˈvɜːsəˌtaɪl /,195
G2,113,veteran,n,antepenult,/ ˈvɛt ər ən /,,201
G2,114,virile,adj,penult,/ ˈvɪr əl /,/ ˈvɪraɪl /,195
G2,115,visionary,adj,antepenult,/ ˈvɪʒ əˌnɛr i /,,194
G3,1,absent,adj,penult,/'æbsənt/,,188
G3,2,absent,v,ult,/æbˈsɛnt/,,188
G3,3,absentee,n,ult,/ˌæbsənˈti/,,188
G3,4,abstract,"n, adj",penult,/ˈæbstrækt/,,185
G3,5,abstract,v,ult,/əbˈstrækt/,,185
G3,6,absurd,adj,ult,/əbˈsɝd/,"/æb-/
/-ˈzɜ˞ d/",189
G3,7,absurdity,n,antepenult,/əbˈsɝdəti/,/əbˈzɝdəti/,189
G3,8,accent,n,penult,/ˈæksənt/,/ˈæksɛnt/,187
G3,9,accent,v,penult / ult,/ˈæksənt/,"/ˈæksɛnt/
/ækˈsɛnt/",187
G3,10,afghanistan,n,antepenult,/ˌæfˈgænəˌstæn/,,187
G3,11,alcohol,n,antepenult,/ˈælkəhɔl/,/ˈælkəhɑl/,188
G3,12,alcoholism,n,,/ˈælkɔhɑlɪzəm/,/ˈælkəhɑlɪzəm/,188
G3,13,amend,v,ult,/əˈmɛnd/,,189
G3,14,amendment,n,penult,/əˈmɛndmənt/,,189
G3,15,arabic,n,antepenult,/ˈɛrəbɪk/,,189
G3,16,aristotelian,"n, adj",penult,/ˌærɪstəˈtiljən/,/ˌærɪstəˈtiliən/,189
G3,17,aristotle,n,,/ˈærəstɑtəl/,,189
G3,18,arrival,n,penult,/əˈraɪvəl/,,188
G3,19,arrive,v,ult,/əˈraɪv/,,188
G3,20,ascend,v,ult,/əˈsɛnd/,,188
G3,21,ascendant,n,penult,/əˈsɛndənt/,,188
G3,22,aspect,n,penult,/’æspɛkt/,,187
G3,23,asset,n,penult,/’æsɛt/,/’æsət/,187
G3,24,bamboo,n,ult,/bæmˈbu/,,187
G3,25,bibliography,n,antepenult,/ˌbɪbliˈɑgrəfi/,,187
G3,26,bottom,n,penult,/ˈbɑtəm/,,189
G3,27,bottomless,adj,antepenult,/ˈbɑtəmləs/,,189
G3,28,brigade,n,ult,/brɪˈɡeɪd/,,188
G3,29,brunette,"n, adj",ult,/bruˈnɛt/,,188
G3,30,burden,"n, v",penult,/ˈbɝdən/,,189
G3,31,burdensome,adj,antepenult,/ˈbɝdənsəm/,,189
G3,32,celibacy,n,,/ˈsɛləbəsi/,,188
G3,33,celibate,adj,antepenult,/ˈsɛləbət/,,188
G3,34,certain,adj,penult,/ˈsɝtən/,,189
G3,35,certainty,n,antepenult,/ˈsɝtənti/,,189
G3,36,clock,n,ult,/klɑk/,,189
G3,37,clockwise,"adj, adv",penult,/ˈklɑkwaɪz/,,189
G3,38,committee,n,penult,/kəˈmɪti/,,188
G3,39,context,n,penult,/ˈkɑntɛkst/,,189
G3,40,contextual,adj,antepenult,/kənˈtɛkstʃuəl/,,189
G3,41,convict,n,penult,/ˈkɑn vɪkt/,,185
G3,42,convict,v,ult,/kənˈvɪkt/,,185
G3,43,crayon,n,penult,/ˈkreɪɑn/,,187
G3,44,cucumber,n,antepenult,/ˈkjukʌmbə˞ /,,187
G3,45,cyclone,n,penult,/ˈsaɪkloʊn/,,187
G3,46,diverse,adj,ult,/dɪˈvɝs/,/ˈdɑɪvɜ˞ s/,189
G3,47,diversity,n,antepenult,/dɪˈvɝsəti/,"/dɑɪ-/
/-sɪti/",189
G3,48,divinity,n,antepenult,/dəˈvɪnəti/,/dɪˈvɪnəti/,187
G3,49,empire,n,penult,/ˈɛmpaɪr/,,187
G3,50,encore,n,penult,/ˈɑŋkɔr/,/ˈɑŋkoʊr/,187
G3,51,excommunicate,v,antepenult,/ˌɛkskəˈmjunəˌkeɪt/,,187
G3,52,expungnatory,adj,,/ˌɛkˈspʌgnəˌtɔri/,,187
G3,53,franchise,n,penult,/ˈfræntʃaɪz/,,187
G3,54,frank,"v, adj",ult,/fræŋk/,,189
G3,55,frankness,n,penult,/ˈfræŋknəs/,,189
G3,56,free,"adj, adv",ult,/fri/,,188
G3,57,freedom,n,penult,/ˈfridəm/,,188
G3,58,friend,n,ult,/frɛnd/,,189
G3,59,friendly,adj,penult,/ˈfrɛndli/,,189
G3,60,friendship,n,penult,/ˈfrɛndʃɪp/,,189
G3,61,geometrical,adj,antepenult,/ˌdʒiəˈmɛtrɪkəl/,,189
G3,62,geometry,n,antepenult,/dʒiˈɑmətri/,,189
G3,63,gourmet,adj,ult,/gʊrˈmeɪ/,/ˈgʊrmeɪ/,187
G3,64,grace,"n, v",ult,/ɡreɪs/,,188
G3,65,graceful,adj,penult,/ˈɡreɪsfəl/,,188
G3,66,gratification,n,penult,/ˌgrætəfəˈkeɪʃən/,,187
G3,67,green,"n, adj",ult,/ɡrin/,,188
G3,68,greenish,adj,penult,/ˈɡrinɪʃ/,,188
G3,69,grotesque,adj,ult,/ɡroʊˈtɛsk/,,188
G3,70,grow,v,ult,/ɡroʊ/,,189
G3,71,growth,n,ult,/ɡroʊθ/,,189
G3,72,hierarchy,n,antepenult,/'haɪərɑrki/,/'haɪrɑrki/,187
G3,73,homonym,n,antepenult,/ˈhɑmənɪm/,/ˈhoʊmənɪm/,189
G3,74,homophone,n,antepenult,/ˈhɑməfoʊn/,/ˈhoʊməfoʊn/,189
G3,75,homophony,n,antepenult,/həˈmɑfəni/,,189
G3,76,honor,"n, v",penult,/ˈɑnɚ/,,188
G3,77,honorific,adj,penult,/ˌɑnəˈrɪfɪk/,,188
G3,78,hotel,n,ult,/hoʊˈtɛl/,/həʊˈtɛl/,187
G3,79,human,n,penult,/ˈhjumən/,,188
G3,80,humanist,n,antepenult,/ˈhjumənɪst/,,188
G3,81,humid,adj,penult,/ˈhjumɪd/,,189
G3,82,humidity,n,antepenult,/hjuˈmɪdəti/,/hjuˈmɪdɪti/,189
G3,83,hygiene,n,penult,/ˈhaɪdʒin/,,187
G3,84,insect,n,penult,/ˈɪnsɛkt/,,189
G3,85,insecticide,n,antepenult,/ɪnˈsɛktəsaɪd/,,189
G3,86,jamboree,n,ult,/ˌdʒæmbəˈri/,,188
G3,87,japan,n,ult,/dʒəˈpæn/,,188
G3,88,japanese,n,ult,/ˌdʒæpəˈniz/,,188
G3,89,kitchen,n,penult,/ˈkɪtʃən/,,188
G3,90,kitchenette,n,ult,/ˌkɪtʃəˈnɛt/,,188
G3,91,labor,"n, v",penult,/ˈleɪbɚ/,,189
G3,92,laborious,adj,antepenult,/ləˈbɔriəs/,/ləˈboʊriəs/,189
G3,93,laryngitis,n,penult,/ˌlerɪnˈdʒaɪtəs/,/ˌlærɪnˈdʒɑɪtəs/,188
G3,94,larynx,n,penult,/ˈlerɪŋks/,,188
G3,95,lemon,n,penult,/ˈlɛmən/,,188
G3,96,lemonade,n,ult,/ˌlɛməˈneɪd/,,188
G3,97,librarian,n,antepenult,/laɪˈbrɛriən/,"/ˈlɑɪ -/
/-ˈbreəriən/",189
G3,98,library,n,antepenult,/ˈlaɪbrɛri/,"/ˈlɑɪ -/
/- rəri/",189
G3,99,lion,n,penult,/ˈlaɪən/,,188
G3,100,lioness,n,antepenult,/ˈlaɪənɛs/,,188
G3,101,lunatic,"n, adj",antepenult,/ˈlunətɪk/,,189
G3,102,martini,n,penult,/mɑrˈtini/,,187
G3,103,million,n,penult,/ˈmɪljən/,,188
G3,104,millionaire,n,ult,/ˌmɪljəˈnɛr/,,188
G3,105,moment,n,penult,/ˈmoʊmənt/,,189
G3,106,momentarily,adv,antepenult,/ˌmoʊmənˈtɛrəli/,,189
G3,107,momentary,adj,,/ˈmoʊməntəri/,,189
G3,108,momentous,adj,penult,/məˈmɛntəs/,/moʊˈmɛntəs/,189
G3,109,mountain,n,penult,/ˈmaʊntən/,/ˈmaʊntɪn/,188
G3,110,mountaineer,n,ult,/ˌmaʊntəˈnɪr/,,188
G3,111,nation,n,penult,/ˈneɪʃən/,,188
G3,112,nationhood,n,antepenult,/ˈneɪʃənhʊd/,,188
G3,113,obese,adj,ult,/oʊˈbis/,,189
G3,114,obesity,n,antepenult,/oʊˈbisəti/,/əʊˈbisəti/,189
G3,115,period,n,antepenult,/ˈpɪriəd/,,189
G3,116,periodic,adj,penult,/ˌpɪriˈɑdɪk/,,189
G3,117,person,n,penult,/ˈpɝsən/,,189
G3,118,personify,v,antepenult,/pɚˈsɑnəfaɪ/,/pɚˈsɑnəfɑɪ/,189
G3,119,photographic,adj,penult,/ˌfoʊtəˈgræfɪk/,,186
G3,120,photography,n,antepenult,/fəˈtɑgrəfi/,,186
G3,121,picture,"n, v",penult,/ˈpɪktʃɚ/,,188
G3,122,picturesque,adj,ult,/ˌpɪktʃərˈɛsk/,,188
G3,123,play,"n, v",ult,/pleɪ/,,188
G3,124,player,n,penult,/ˈpleɪɚ/,,188
G3,125,protest,n,penult,/ˈproʊtɛst/,,185
G3,126,protest,v,ult,/proʊˈtɛst/,/prəʊˈtɛst/,185
G3,127,raccoon,n,ult,/ræˈkun/,,187
G3,128,realization,n,penult,/ˌriələˈzeɪʃən/,/ˌriəlaɪˈzeɪʃən/,188
G3,129,realize,v,penult,/ˈriəlaɪz/,,188
